,domain_name,field_name,subfield_name,name
34259,Social Sciences,Social Sciences,Political Science and International Relations,Transformation of Russian Economy and Society
34471,Health Sciences,Medicine,Complementary and alternative medicine,Therapeutic Potential of Herbal Medicines
34508,Social Sciences,Social Sciences,Sociology and Political Science,Critique of Political Economy and Capitalist Development
34585,Social Sciences,Psychology,Experimental and Cognitive Psychology,Multisensory Integration in Human Perception and Cognition
34608,Life Sciences,Agricultural and Biological Sciences,Forestry,Agroforestry Tree Domestication in Africa
34611,Physical Sciences,Chemistry,Inorganic Chemistry,Chemistry of Noble Gas Compounds and Interactions
34632,Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,Institutional Theory and Organizational Change
34660,Social Sciences,Psychology,Applied Psychology,Psychological Assessment and Motivation Research
34759,Social Sciences,Social Sciences,Sociology and Political Science,Influence of Climate on Human Conflict
34801,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Systematics and Phylogeny of Brassicaceae
34812,Health Sciences,Medicine,Surgery,Surgical Management of Brachial Plexus Injuries
34869,Health Sciences,Medicine,Epidemiology,Epidemiology and Treatment of Bone Fractures
35049,Physical Sciences,Mathematics,Applied Mathematics,Optimal Transport in Geometry and Analysis
35141,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Image Denoising Techniques and Algorithms
35191,Social Sciences,Arts and Humanities,Religious studies,Biblical Studies and Christian Theology
35237,Physical Sciences,Engineering,Electrical and Electronic Engineering,Wireless Power Transfer Systems and Applications
35358,Health Sciences,Medicine,Surgery,Venous Anomalies and Syndromes in Vascular System
35386,Physical Sciences,Engineering,Biomedical Engineering,Droplet Microfluidics Technology
35445,Social Sciences,Social Sciences,Sociology and Political Science,Causes and Effects of Corruption
35452,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Breast Magnetic Resonance Imaging in Oncology
35501,Health Sciences,Medicine,Hematology,Hemostatic Agents and Techniques
35520,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genomic Rearrangement Disorders in Skin Diseases
35678,Physical Sciences,Chemistry,Inorganic Chemistry,Homogeneous Catalysis with Transition Metals
35690,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Changing Prevalence of HIV-Associated Oral Lesions
35693,Physical Sciences,Engineering,Automotive Engineering,Estimating Vehicle Fuel Consumption and Emissions
35711,Social Sciences,Psychology,Clinical Psychology,Psychological Effects of Perfectionism
36056,Physical Sciences,Chemical Engineering,Bioengineering,Advances in Chemical Sensor Technologies
36092,Health Sciences,Health Professions,Emergency Medical Services,Challenges and Solutions in Rural Health Workforce
36298,Physical Sciences,Materials Science,Materials Chemistry,Porous Crystalline Organic Frameworks for Energy and Separation Applications
36516,Social Sciences,Social Sciences,Urban Studies,Urban Shrinkage in Post-Socialist Contexts
36547,Physical Sciences,Computer Science,Computer Networks and Communications,Content-Centric Networking for Information Delivery
36564,Physical Sciences,Chemistry,Inorganic Chemistry,Chemistry of Actinide and Lanthanide Elements
36565,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genetic and Clinical Studies of Ocular Development
36581,Health Sciences,Medicine,Gastroenterology,Diagnosis and Management of Gastrointestinal Bleeding
36632,Social Sciences,Psychology,Social Psychology,Psychological Effects of Social Exclusion
36771,Social Sciences,"Business, Management and Accounting",Accounting,Venture Capital and Start-Up Financing
36981,Life Sciences,Agricultural and Biological Sciences,Plant Science,Herbal Medicine and Natural Compounds Research
36995,Social Sciences,Social Sciences,Law,Legal Recognition of Nature's Rights and Environmental Governance
37104,Physical Sciences,Chemistry,Physical and Theoretical Chemistry,Noncovalent Interactions in Molecular Crystals and Supramolecular Chemistry
37189,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genetic Disorders Causing Tissue Mineralization Abnormalities
37232,Physical Sciences,Engineering,Biomedical Engineering,Plasma Applications for Environmentally Friendly Catalyst Preparation
37247,Social Sciences,"Business, Management and Accounting",Marketing,Impact of Digital Piracy on Creative Industries
37349,Social Sciences,Social Sciences,Sociology and Political Science,Stigma and Dynamics of Non-Monogamous Relationships
37464,Social Sciences,Social Sciences,Political Science and International Relations,Theoretical Perspectives on Global Justice
37502,Social Sciences,Psychology,Social Psychology,Moral Emotions and Behavioral Impact
37539,Health Sciences,Medicine,Complementary and alternative medicine,Therapeutic Effects of Ginkgo Biloba Extracts
37647,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Translation of Canine Cancer Research to Humans
37654,Social Sciences,Social Sciences,Safety Research,Child Welfare and Foster Care System
37659,Life Sciences,Agricultural and Biological Sciences,Plant Science,Biological Properties of Garlic and Its Compounds
37693,Health Sciences,Medicine,Ophthalmology,Epidemiology and Management of Ocular Trauma Injuries
37775,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Hyperglycemic Chorea and Basal Ganglia Lesions
37833,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Expanding Access to Radiotherapy Globally
38093,Social Sciences,"Business, Management and Accounting",Strategy and Management,Role of Public Procurement in Driving Innovation and Sustainability
38145,Health Sciences,Health Professions,General Health Professions,Health and Nutrition of Indigenous Populations in Brazil
38147,Social Sciences,Social Sciences,Education,Impact and Implementation of Montessori Education
38176,Physical Sciences,Chemistry,Spectroscopy,NMR Spectroscopy Techniques
38194,Physical Sciences,Engineering,Computational Mechanics,Smoothed Particle Hydrodynamics in Fluid Dynamics
38767,Physical Sciences,Environmental Science,Environmental Chemistry,Anaerobic Methane Oxidation and Gas Hydrates
39148,Social Sciences,Social Sciences,Sociology and Political Science,Social Capital and Trust in Communities
39153,Health Sciences,Medicine,Urology,Regulation and Function of Hair Follicle Stem Cells
39200,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Advances in Ultrasound Elastography Imaging Techniques
39292,Physical Sciences,Environmental Science,Global and Planetary Change,Climate Change Impacts on Forest Carbon Sequestration
39382,Physical Sciences,Computer Science,Artificial Intelligence,Dialogue Act Modeling for Spoken Language Systems
39423,Health Sciences,Medicine,Obstetrics and Gynecology,Gynecologic Oncology
39554,Social Sciences,Arts and Humanities,Classics,Byzantine and Eastern Mediterranean Studies
39574,Physical Sciences,Engineering,Automotive Engineering,Autonomous Vehicle Technology and Safety Systems
39606,Physical Sciences,Computer Science,Human-Computer Interaction,User Experience and Design Research in HCI
39607,Social Sciences,Social Sciences,Public Administration,Collaborative Governance in Public Administration and Management
39941,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Quantitative Imaging of Living Cells with Holography
39963,Physical Sciences,Chemistry,Organic Chemistry,Catalytic Oxidation of Alcohols
39965,Social Sciences,"Economics, Econometrics and Finance",Finance,Financialization of the Economy
40316,Physical Sciences,Chemistry,Physical and Theoretical Chemistry,Innovations in Chemistry Education and Laboratory Techniques
40357,Physical Sciences,Environmental Science,Water Science and Technology,Nanobubbles in Water Treatment
40425,Life Sciences,Agricultural and Biological Sciences,Insect Science,Invasion Biology of Fruit Flies
40453,Social Sciences,Arts and Humanities,History,History of International Humanitarianism and Human Rights
40491,Physical Sciences,Environmental Science,Environmental Engineering,Microbial Fuel Cells and Electrogenic Bacteria Technology
40493,Physical Sciences,Engineering,Biomedical Engineering,Breath Analysis Technology
40778,Social Sciences,Decision Sciences,Information Systems and Management,Preprints in Scientific Communication
40797,Social Sciences,Social Sciences,Sociology and Political Science,Workplace Bullying and Harassment in Professional Environments
40820,Social Sciences,Social Sciences,Sociology and Political Science,"Race, Politics, and Society in Cuba"
40896,Physical Sciences,Computer Science,Artificial Intelligence,Machine Learning for Mineral Prospectivity Mapping
41089,Social Sciences,Social Sciences,Demography,Influence of Culture on Economic and Social Development
41260,Health Sciences,Medicine,Infectious Diseases,Clinical Characteristics of Deep Neck Infections
41270,Physical Sciences,Computer Science,Computer Networks and Communications,Distributed Constraint Optimization Problems and Algorithms
41309,Physical Sciences,Engineering,Biomedical Engineering,Lower Limb Exoskeleton Robotics
41330,Social Sciences,Psychology,Social Psychology,Psychological and Social Impact of Humor and Laughter
41341,Physical Sciences,Computer Science,Computer Networks and Communications,Network Intrusion Detection and Defense Mechanisms
41474,Physical Sciences,Engineering,Civil and Structural Engineering,Structural Vibration Control Systems
41590,Health Sciences,Medicine,Hepatology,Hepatitis E Infection and Treatment
41768,Physical Sciences,Computer Science,Computational Theory and Mathematics,Rough Sets Theory and Applications
41771,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Toxicology,Role of Quinones in Toxicology and Pharmacology
41954,Social Sciences,Social Sciences,Archeology,Archaeological Research in Southern Africa
42015,Social Sciences,Social Sciences,Sociology and Political Science,Youth Transitions and Social Inequality
42070,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Impact of International Economic Sanctions
42122,Physical Sciences,Computer Science,Artificial Intelligence,Theory and Applications of Extreme Learning Machines
42228,Physical Sciences,Engineering,Biomedical Engineering,Biomechanical Modeling of Arterial Tissues
42256,Physical Sciences,Engineering,Automotive Engineering,Implications of Shared Autonomous Vehicle Services
42304,Physical Sciences,Engineering,Media Technology,Hyperspectral Image Analysis and Classification
42307,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Evolution and Ecology of Endophyte-Grass Symbiosis
42452,Social Sciences,Social Sciences,Sociology and Political Science,Civil Rights Movement and Black Studies
42538,Physical Sciences,Computer Science,Artificial Intelligence,Data Clustering Techniques and Algorithms
42575,Physical Sciences,Computer Science,Human-Computer Interaction,Usability Evaluation in Human-Computer Interaction
42587,Physical Sciences,Environmental Science,Global and Planetary Change,Drivers and Impacts of Tropical Deforestation
42679,Social Sciences,Social Sciences,Gender Studies,Gender Differences in Information and Communication Technology
42692,Health Sciences,Medicine,Obstetrics and Gynecology,Uterine Conditions and Treatments
42793,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Protein-DNA Interaction Dynamics in Living Cells
42825,Physical Sciences,Environmental Science,Environmental Chemistry,Eutrophication and Harmful Algal Blooms
42853,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Quantum Many-Body Systems and Entanglement Dynamics
42949,Physical Sciences,Engineering,Ocean Engineering,Underwater Acoustic Sensor Networks and Communication
43034,Health Sciences,Medicine,Epidemiology,Epidemiology and Treatment of Microscopic Colitis
43038,Social Sciences,Psychology,Social Psychology,Self-Determination Theory in Human Motivation and Well-Being
43074,Social Sciences,"Business, Management and Accounting",Management of Technology and Innovation,Innovations in Management Education and Curriculum Development
43107,Physical Sciences,Environmental Science,Ecology,Impacts of Crayfish Invasions on Freshwater Ecosystems
43114,Physical Sciences,Computer Science,Artificial Intelligence,Application of Genetic Programming in Machine Learning
43130,Social Sciences,"Business, Management and Accounting",Management Information Systems,Design and Implementation of Management Control Systems
43131,Physical Sciences,Mathematics,Numerical Analysis,Numerical Methods for Singularly Perturbed Problems
43144,Health Sciences,Medicine,Surgery,Minimally Invasive Repair of Pectus Excavatum
43174,Social Sciences,Social Sciences,Communication,Media Framing and Agenda Setting in Communication
43193,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Heme Biosynthesis and Related Disorders
43202,Social Sciences,Arts and Humanities,History,Reformation Studies in Early Modern Europe
43215,Health Sciences,Medicine,Anatomy,Evolution and Usage of Anatomical Nomenclature
43233,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Protein Microarray Technology and Applications
43291,Social Sciences,Decision Sciences,Management Science and Operations Research,Time Series Forecasting Methods
43323,Physical Sciences,Chemistry,Spectroscopy,Chiral Separation in Chromatography
43350,Social Sciences,Psychology,Clinical Psychology,Assessment of Decisional Capacity in Psychiatry
43423,Physical Sciences,Computer Science,Artificial Intelligence,Cryptography and Error-Correcting Codes
43427,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economic Analysis of Law and Legal Systems
43445,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Snake Venom Evolution and Toxinology
43506,Health Sciences,Medicine,Anesthesiology and Pain Medicine,Treatment and Mechanisms of Complex Pain Syndromes
43602,Social Sciences,Arts and Humanities,Philosophy,Rhetoric and Democracy in Public Discourse
43699,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economic Impacts of Insurance Market Dynamics
43704,Physical Sciences,Engineering,Computational Mechanics,Isogeometric Analysis in Computational Engineering
43738,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,G-Quadruplex DNA Structures and Functions
43741,Health Sciences,Medicine,Surgery,Heparin-Induced Thrombocytopenia and Thrombosis
43785,Social Sciences,Arts and Humanities,Literature and Literary Theory,The Role of Narrative in Persuasive Communication
43822,Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",Photocatalysis and Solar Energy Conversion
43845,Physical Sciences,Chemistry,Organic Chemistry,Chemistry and Pharmacology of Amaryllidaceae Alkaloids
43868,Health Sciences,Medicine,Physiology,Regulation of Stem Cell Therapies and Clinics
43884,Life Sciences,Agricultural and Biological Sciences,Plant Science,Biological Properties of Aloe Vera and Related Compounds
43917,Physical Sciences,Environmental Science,Water Science and Technology,Fluoride Contamination in Drinking Water and Defluoridation Methods
43944,Social Sciences,Psychology,Social Psychology,Detection of Deception in Communication and Interrogation
43956,Social Sciences,Social Sciences,Political Science and International Relations,Clientelism and Political Power in Latin America
44038,Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",Occurrence and Health Effects of Drinking Water Disinfection By-Products
44140,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmacology,Pharmaceutical Care and Clinical Pharmacy Practice
44181,Physical Sciences,Environmental Science,Pollution,Thallium Pollution and Health Impacts
44194,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Breast Cancer Screening Technology
44242,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Effects of D-Galactose on Aging and Neurodegeneration
44313,Social Sciences,Social Sciences,Sociology and Political Science,Social Identity Theory and Exchange Relations
44316,Health Sciences,Medicine,Surgery,Intestinal Malrotation and Obstruction Disorders
44469,Physical Sciences,Engineering,Computational Mechanics,Computational Fluid Dynamics
44514,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Polyamines and Biogenic Amines in Biology and Health
44643,Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,Gaia Hypothesis and Earth Systems Science
45033,Physical Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,Characterization of Chaotic Quantum Dynamics and Structures
45189,Life Sciences,Immunology and Microbiology,Parasitology,Bartonella Infections and Zoonotic Potential
45263,Physical Sciences,Chemistry,Spectroscopy,Molecular Structure Determination using Rotational Spectroscopy
45447,Physical Sciences,Computer Science,Hardware and Architecture,Parallel Computing and Performance Optimization
45473,Physical Sciences,Materials Science,Materials Chemistry,Powder Diffraction Analysis
45523,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Developmental Biology,Genetic and Developmental Studies of Limb Malformations
45655,Health Sciences,Health Professions,Occupational Therapy,Prevention and Treatment of Pressure Ulcers
45657,Social Sciences,Social Sciences,Political Science and International Relations,Consequences of Nuclear War and Global Security
45689,Social Sciences,"Business, Management and Accounting",Accounting,Skills and Attributes in Accounting Education
45842,Health Sciences,Medicine,Oncology,Cancer Chemopreventive Properties of Saffron
45872,Physical Sciences,Chemistry,Organic Chemistry,Organometallic Chemistry and Metalation
45949,Physical Sciences,Engineering,Biomedical Engineering,Freeform Optics Design and Fabrication
45973,Physical Sciences,Earth and Planetary Sciences,Atmospheric Science,Impacts of Climate Change on Glaciers and Water Availability
46083,Social Sciences,Social Sciences,Sociology and Political Science,Income Inequality and Poverty Dynamics
46279,Physical Sciences,Environmental Science,Nature and Landscape Conservation,Illegal Trade and Conservation of Parrots
46437,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Tooth Development and Morphogenesis
46604,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Male Breast Cancer and Gynecomastia Research
46607,Social Sciences,Social Sciences,Education,Reflective Practice in Education and Professional Development
46731,Life Sciences,Immunology and Microbiology,Immunology,Role of TREM-1 and Endocan in Inflammation
46938,Physical Sciences,Engineering,Computational Mechanics,Turbulent Flows and Vortex Dynamics
47025,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Factors Affecting Medical School Selection and Performance
47338,Health Sciences,Health Professions,Occupational Therapy,Occupational Science and Therapy Practice
47606,Physical Sciences,Engineering,Computational Mechanics,Dynamics of Drop Impact on Surfaces
47886,Social Sciences,Arts and Humanities,History,History of Reproduction and Gender in Britain
48413,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Electromagnetic Scattering with Integral Equations
48675,Health Sciences,Medicine,Infectious Diseases,Parvovirus B19 Infection and Pathogenesis
48681,Health Sciences,Nursing,"Issues, ethics and legal aspects",Nursing Advocacy and Health Policy Development
48866,Physical Sciences,Environmental Science,Ecology,Marine Microbial Diversity and Biogeography
49079,Physical Sciences,Computer Science,Computational Theory and Mathematics,Matrix Algorithms and Iterative Methods
49211,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economic Impact of Environmental Policies and Resources
49232,Physical Sciences,Engineering,Biomedical Engineering,Laser Ablation Synthesis of Nanoparticles
49410,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Race and Genetics in Biomedical Research
49450,Physical Sciences,Computer Science,Information Systems,Role of Digital Technologies in Pandemic Contact Tracing
49685,Physical Sciences,Environmental Science,Global and Planetary Change,Global Flood Risk Assessment and Management
49965,Health Sciences,Medicine,Rehabilitation,Musculoskeletal Education in Medical Training
50027,Physical Sciences,Engineering,Electrical and Electronic Engineering,Silicon Photonics Technology
50065,Social Sciences,Social Sciences,Education,Impact of Media on Children's Development
50601,Health Sciences,Health Professions,General Health Professions,Interprofessional Collaboration in Healthcare Teams
50839,Social Sciences,Social Sciences,Sociology and Political Science,Impact of Gig Economy on Labor Market
51077,Physical Sciences,Materials Science,Materials Chemistry,Synthesis and Applications of Carbon Quantum Dots
51186,Social Sciences,Social Sciences,Political Science and International Relations,Ethiopia-Eritrea Relations and Society
51202,Physical Sciences,Engineering,Electrical and Electronic Engineering,Vehicular Ad Hoc Networks and Communications
51203,Physical Sciences,Computer Science,Computer Vision and Pattern Recognition,Information Visualization and Visual Data Mining
51227,Life Sciences,Agricultural and Biological Sciences,Plant Science,Plant-Parasitic Nematodes in Molecular Plant Pathology
51312,Social Sciences,Arts and Humanities,Philosophy,Religion and Digital Technology
51518,Physical Sciences,Engineering,Electrical and Electronic Engineering,Optical Code Division Multiple Access
51578,Social Sciences,Social Sciences,Sociology and Political Science,Motivation and Behavior of Convention Attendees
51742,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Paediatric Virology Research and Education
51761,Social Sciences,Psychology,Social Psychology,The Relationship Between Music and Anxiety Management
51920,Physical Sciences,Environmental Science,Industrial and Manufacturing Engineering,Wastewater Reuse and Management Practices
51941,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Planarian Regeneration
52064,Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,Family Business Studies and Management
52153,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Mechanism Design and Matching Theory in Economics
52179,Physical Sciences,Computer Science,Artificial Intelligence,Learning with Noisy Labels in Machine Learning
52316,Physical Sciences,Chemistry,Inorganic Chemistry,Synthesis and Properties of Inorganic Cluster Compounds
52386,Physical Sciences,Computer Science,Artificial Intelligence,Learning and Inference in Bayesian Networks
52406,Social Sciences,Psychology,Neuropsychology and Physiological Psychology,Influence of Aging on Emotional Experience and Well-being
52607,Health Sciences,Veterinary,Small Animals,Emerging Animal Pathogens and Diseases
52661,Health Sciences,Medicine,Ophthalmology,Epidemiology and Management of Ocular Infections
52676,Physical Sciences,Chemistry,Physical and Theoretical Chemistry,Excited-State Proton Transfer Mechanisms and Applications
52722,Social Sciences,Social Sciences,Safety Research,Ethical Implications of Artificial Intelligence
52730,Social Sciences,Social Sciences,Sociology and Political Science,Social and Cultural Development in Vietnam
52960,Social Sciences,Decision Sciences,Management Science and Operations Research,Data-Driven Decision-Making in Smart Manufacturing Systems
52967,Social Sciences,Social Sciences,Gender Studies,Gender Dynamics in Sports and Fan Culture
53032,Social Sciences,Social Sciences,Education,Impact of Flipped Classroom on Learning Outcomes
53043,Physical Sciences,Engineering,Biomedical Engineering,Nanoscale Lithographic Patterning Techniques
53124,Physical Sciences,Computer Science,Artificial Intelligence,Sentiment Analysis and Opinion Mining
53186,Physical Sciences,Environmental Science,Environmental Chemistry,Biogeochemical Cycling of Nutrients in Aquatic Ecosystems
53220,Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials",Magnetocaloric Materials Research
53356,Physical Sciences,Materials Science,Materials Chemistry,Macromolecular Crystallography Techniques
53399,Social Sciences,Social Sciences,Sociology and Political Science,Politics and Social Implications of Immigration
53414,Physical Sciences,Engineering,Media Technology,RFID Technology and Applications
53541,Social Sciences,Social Sciences,Sociology and Political Science,Evolution and Impacts of Event Tourism
53593,Physical Sciences,Engineering,Mechanical Engineering,Self-Reconfigurable Robotic Systems and Modular Robotics
53609,Physical Sciences,Chemistry,Organic Chemistry,Asymmetric Catalysis
53692,Physical Sciences,Mathematics,Applied Mathematics,Spatial Point Patterns in Science
53819,Physical Sciences,Engineering,Computational Mechanics,Lattice Boltzmann Method for Complex Flows
53861,Social Sciences,Psychology,Developmental and Educational Psychology,Dynamic Assessment in Educational Psychology
53870,Physical Sciences,Materials Science,Materials Chemistry,Photochromic Materials and Molecular Switches
53960,Social Sciences,Social Sciences,Sociology and Political Science,Democratization and Decentralization in Indonesia
54082,Health Sciences,Medicine,Genetics,Diagnosis and Management of Hereditary Hemorrhagic Telangiectasia
54122,Life Sciences,Neuroscience,Neurology,Historical Evolution of Neurological Studies and Discoveries
54170,Social Sciences,Social Sciences,Demography,Lifestyle Migration and Retirement Mobility
54182,Social Sciences,Social Sciences,Safety Research,Positive Youth Development in the United States
54227,Social Sciences,Social Sciences,Law,Civil and Religious Law in Europe
54302,Social Sciences,Social Sciences,Sociology and Political Science,Conflict Management and Negotiation Strategies
54307,Health Sciences,Veterinary,Small Animals,Anthelmintic Resistance in Veterinary Parasites
54342,Social Sciences,Social Sciences,Sociology and Political Science,Role of Faith-Based Organizations in Development and Social Services
54375,Life Sciences,Agricultural and Biological Sciences,Plant Science,Comparative Analysis of Organic Agricultural Practices
54440,Physical Sciences,Environmental Science,Ecology,Wildlife Ecology and Conservation Biology
54470,Physical Sciences,Engineering,Biomedical Engineering,Technologies for Biofuel Production from Biomass
54614,Physical Sciences,Mathematics,Statistics and Probability,Estimation of Population Size Using Capture-Recapture Models
54639,Physical Sciences,Computer Science,Artificial Intelligence,Effectiveness of Intelligent Tutoring Systems
54658,Social Sciences,Arts and Humanities,Visual Arts and Performing Arts,Visual Culture in Colonial Spanish America
54688,Physical Sciences,Earth and Planetary Sciences,Geophysics,Seismic Waveform Inversion in Geophysics
54995,Physical Sciences,Mathematics,Modeling and Simulation,Mathematical Modeling of Cancer Growth and Treatment
55165,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Pollen Development and Function
55269,Health Sciences,Medicine,Surgery,Management and Treatment of Chronic Venous Disorders
55472,Life Sciences,Agricultural and Biological Sciences,Soil Science,Composting of Organic Wastes and Maturity Assessment
55849,Life Sciences,Agricultural and Biological Sciences,Plant Science,Biofortification of Staple Crops for Human Nutrition
56018,Social Sciences,Arts and Humanities,Literature and Literary Theory,English-Medium Instruction in Higher Education
56136,Social Sciences,Social Sciences,Sociology and Political Science,Impact of Climate Change on Human Migration
56147,Physical Sciences,Chemistry,Analytical Chemistry,Counter-Current Chromatography Techniques
56181,Social Sciences,Social Sciences,Sociology and Political Science,Politics of Citizenship Education and Historical Thinking
56219,Physical Sciences,Chemistry,Organic Chemistry,Thermochemical Properties of Organic Compounds
56253,Physical Sciences,Physics and Astronomy,Statistical and Nonlinear Physics,Stochastic Resonance in Nonlinear Systems
56412,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,Drug Delivery Systems
56449,Social Sciences,Social Sciences,Education,Impact of Service-Learning in Higher Education
56502,Health Sciences,Medicine,Surgery,Complications and Management of Stoma-related Issues
56564,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Ethical Considerations in Clinical Photography and Documentation
56705,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Global Diversity of Microbial Eukaryotes and Their Evolution
56773,Social Sciences,Social Sciences,Education,Impact and Implementation of Problem-Based Learning in Education
56828,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economics of Professional Sports and Prediction Markets
56862,Health Sciences,Nursing,Nutrition and Dietetics,Role of Magnesium in Health and Disease
56898,Health Sciences,Medicine,Surgery,Epidemiology and Management of Maxillofacial Trauma
56958,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economics and Impact of Film Industry
57189,Health Sciences,Health Professions,General Health Professions,Health and Well-being of Arctic Indigenous Peoples
57384,Physical Sciences,Environmental Science,Industrial and Manufacturing Engineering,Global E-Waste Recycling and Management
57426,Physical Sciences,Computer Science,Computational Theory and Mathematics,Multiobjective Optimization in Evolutionary Algorithms
57546,Social Sciences,Social Sciences,Sociology and Political Science,Participatory Visual Research Methods in Social Science
57587,Physical Sciences,Physics and Astronomy,Radiation,Scintillation Detector Technology
57695,Health Sciences,Medicine,Rheumatology,Diagnosis and Treatment of Synovial Disorders
57752,Physical Sciences,Computer Science,Signal Processing,Audio Signal Classification and Analysis
57894,Health Sciences,Dentistry,Orthodontics,Orthodontic Research and Treatment
57985,Health Sciences,Health Professions,Medical Laboratory Technology,Medical Equipment Maintenance and Management
58315,Physical Sciences,Chemistry,Analytical Chemistry,Trace Element Analysis in Medicinal Plants and Teas
59175,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Challenges in Medical Waste Management during COVID-19 Pandemic
59204,Social Sciences,Social Sciences,Political Science and International Relations,Politics and Poetics of Water Infrastructure
59291,Social Sciences,Decision Sciences,"Statistics, Probability and Uncertainty",Uncertainty Quantification and Sensitivity Analysis
59435,Life Sciences,Agricultural and Biological Sciences,Plant Science,Mycotoxins and Their Impact
59478,Physical Sciences,Computer Science,Signal Processing,Blind Source Separation and Independent Component Analysis
59515,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Effects of Medication on Pregnancy Outcomes
59582,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Diversity and Evolution of Fungal Pathogens
60080,Physical Sciences,Engineering,Biomedical Engineering,Chemical Mechanical Polishing in Microelectronics Manufacturing
60169,Social Sciences,Arts and Humanities,Archeology,Analytical Techniques in Art Conservation and Archaeology
60253,Physical Sciences,Physics and Astronomy,"Atomic and Molecular Physics, and Optics",Casimir Effect Research
60261,Physical Sciences,Engineering,Electrical and Electronic Engineering,Memristive Devices for Neuromorphic Computing
60266,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Biosynthesis and Pharmacological Activities of Lignans
60305,Health Sciences,Medicine,Orthopedics and Sports Medicine,Sports Science and Performance Analysis
60472,Social Sciences,Social Sciences,Education,Decolonizing Education in African Context
60542,Physical Sciences,Engineering,Computational Mechanics,Theory and Applications of Compressed Sensing
60649,Social Sciences,Social Sciences,Library and Information Sciences,Social Inclusion in Library Services for Newcomers
60915,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,The Impact of R&D Subsidies on Private R&D Investment
60981,Social Sciences,Psychology,Experimental and Cognitive Psychology,Cognitive Load Theory in Multimedia Learning
61366,Social Sciences,Social Sciences,Sociology and Political Science,Environmental Justice and Inequality in Urban Development
